,place,text, artist
0,1,"""Я больше не жду не плачу не ревную
Не запиваю память аперолем
Плевать кто там сейчас тебя целует
Уже нет боли
Вновь вдыхаешь дым сигарет сигарет хей
Где твоя любовь поищи в тиндере, окей
Но такой как я больше нет больше нет с ней
Ты всё сможешь понять, но теперь у меня
Гармония
Я укрываюсь дома тёплым пледом
Мы с ним на потолке считаем звёзды
А ты на тусе убиваешь кеды
И убиваешься, что слишком поздно
Он произносит моё имя нежно
Смотрит в глаза, а не на пол в прихожей
Тебя на части рвёт от неизбежности
Его – от запаха моей кожи
Гармония
У тебя всё окей
Всё как ты хочешь гармония
У меня много людей вокруг
Но в душе меланхолия
Жизнь, будто лента инсты
Бесконечный процесс, скролю я
Каждую ночь со мной новая (ай)
Но утро опять свайп
Литр за литром вискарь
Badoo и Tinder и в этом весь кайф (кайф)
Кого хочу обмануть?
Это всё не моё
Тебе ли не знать
У тебя – эйфория и радость
У меня – уныние и реальность
Ты сжигаешь то что осталось
Я прощая прощаюсь
Гармония
Я укрываюсь дома тёплым пледом
Мы с ним на потолке считаем звёзды
А ты на тусе убиваешь кеды
И убиваешься что слишком поздно
Он произносит моё имя нежно и
Cмотрит в глаза а не на пол в прихожей
Тебя на части рвёт от неизбежности
Его – от запаха моей кожи """,Artik & Asti
1,2,"""Ты ночной кошмар что растаял по утру
Я по-прежнему красива, хоть казалось что умру
Между нами дым слёзы и горящий мост
Пусть со мной так сложно было но и ты пацан не прост
Мне очень жалко твою новую девчонку
Я не ревную правда я же отпустила
Начнёшь oпять издалека и потихоньку
Посмотришь stories дальше лайк и закрутилось
И понеслась опять звонки утром в миноре
Так было сотни раз пока я не остыла
Но ты не понял при последнем разговоре
Я поумнела или просто разлюбила
А ты по барам в пьяном угаре
Что же ты парень снова вспоминаешь о том
Как мы гуляли по тротуарам
Мокрым и старым утром под дождём босиком
По барам, я твоя кара
Я твоя карма ты найдёшь в толпе мой типаж
Ты подкатил и она запала
Но это вновь не я а мираж
Ты ночной кошмар что летит на крыльях ночи
Тебя тянет ко мне а меня к тебе не очень
Ты не приезжай недолюбленный мальчик
Перестань меня ждать под окном своей тачки
Я не свечу уже давно геолокацию
И не хожу в места в которых мы тусили
Чтоб ты не смог совсем никак ко мне добраться
Все наши фото не в архиве а в корзине
А ты по барам в пьяном угаре
Что же ты, парень снова вспоминаешь о том
Как мы гуляли по тротуарам
Мокрым и старым утром под дождём босиком
По барам я твоя кара
Я твоя карма ты найдёшь в толпе мой типаж
Ты подкатил и она запала
Но это вновь не я а мираж
Мне не нужны твои звонки утром в миноре
Я не скучаю по тебе уже нисколько
Сказала лишь одно в последнем разговоре
Мне очень жалко твою новую девчонку""""""""",ANNA ASTI
2,3,"""Не плачь моя милая. Я его не подпущу к тебе
Ни на шаг ни на день ни на миг больше
В кулак все силы и в огонь остатки чувств
Скоро отпустит. Поверь со мной так было тоже
Только ты ещё не знаешь о том
Как будешь громко смеяться потом
И вроде те же песни в твоём плейлисте
Но уже не о нём
Ты будешь на берегу океана
Смотреть как звёзды близко с кем-то очень искренним
А пока кровоточат раны
Давай ещё по виски
Он твоё небо он твоё море
Ты ему: Где ты? — он опять игнорит
Он звонит ночью из чужой ванной
Ты ответишь точно всё идёт по плану
Ты кричишь от боли что трещит динамик
Ты его хобби он опять динамит
Снова жжёшь нервы. Если так что же
Лучше быть полной стервой чем дать себя уничтожить
Держи меня за руку пока ночь не закончится
Я предательски жду когда он мне напишет
Я больше так не могу. Когда это кончится?
И если с тобой было так же скажи: как ты выжил?
Та другая будет счастлива может
Ну кому я вру? С ней будет всё то же
Пусть пока кайфует и целует в губы
Больно будет позже
Ты прошёл мой друг всё это сам
Почему изнутри свет ну ответь мне?
Я уже не верю чудесам
И опять повторяю себе
Он твоё небо он твоё море
Ты ему: Где ты? — он опять игнорит
Он звонит ночью из чужой ванной
Ты ответишь точно всё идёт по плану
Ты кричишь от боли что трещит динамик
Ты его хобби он опять динамит
Снова жжёшь нервы. Если так что же
Лучше быть полной стервой чем дать себя уничтожить
Он твоё небо он твоё море
Ты ему: Где ты? — он опять игнорит
Он звонит ночью из чужой ванной
Ты ответишь точно всё идёт по плану
Ты кричишь от боли что трещит динамик
Ты его хобби он опять динамит
Снова жжёшь нервы. Если так что же
Лучше быть полной стервой чем дать себя уничтожить""",ANNA ASTI feat. Philipp Kirkorov
3,4,"""Возвращаться нам больше нет причин
Больше не кричи, нас не вылечить (oh)
Мы проблемны (нет), несистемны (нет)
Только чувства увы нетленные
Среди подлости и предательства
Я растил цветы, душу тратил всю
Есть один успех, уважительный
Цветы выросли, но как им жить теперь?
Ну как ты там живёшь? Как справляешься?
Ты же гордая, не признаешься
Я же чувствую, как ты маешься
Вся огнём горишь, вспоминаешь всё
Как ты там живёшь? С кем встречаешься?
Ты же гордая, не признаешься
Но я чувствую, как ты маешься
Вся огнём горишь, вспоминаешь всё
Я бы попробовал всё это заново
Но ты опять провалила экзамены
В час, когда жизнь поменяет местами нас
Ты всё поймёшь, но не будет меня
Расскажи теперь, кто твой папочка
Кому киса приносит тапочки
Вспоминай теперь наше прошлое
Лезут в голову мысли пошлые
Ну как ты там живёшь? Как справляешься?
Ты же гордая, не признаешься
Я же чувствую, как ты маешься
Вся огнём горишь, вспоминаешь всё
Как ты там живёшь? С кем встречаешься?
Ты же гордая, не признаешься
Но я чувствую, как ты маешься
Вся огнём горишь, вспоминаешь всё""", Kamazz
4,5,"""Вместе со старым хламом ненужным
В начале пятого, кажется
Я отнесла разбитые чувства
Чтобы опять не пораниться
Там, где была лишь сажа да копоть
Теперь остался огромный пробел
Я согласилась забрать только опыт
Но эту боль не оставлю себе
Я слишком гордая, и не вернусь назад
Я слишком ранена, но мне так хочется жить
Я слишком сильная, чтобы упасть и не встать
Пора взлетать — это мой фирменный стиль
Всё вымыла до бела, а теперь дела
Ты не сломал, мне ещё есть о чём помечтать
Эта любовь измотала и довела
Эта любовь в миг накрыла, но схлынула
Мне говорили: Дура не реви не реви
Он в тебя пулю а ты о любви о любви
Какая там любовь, ведь у него не болит
Твоя душа как море а его — на мели
А я кричала: Как он может так, чёрт возьми?!
В слезах писала: Набери и поговорим
Я словно птица феникс та что устала молить
Чтобы воскреснуть нужно испепелить
Нужно испепелить
И кто-то в следующей жизни там, сверху
Решит нас вдруг поменять местами
И обещав подарить тебе сердце
Я протяну лишь холодный камень
Ты будешь лёжа на кафеле ночью
Глотать снотворные от обиды
Ты будешь так же любить меня точно
И так же точно меня ненавидеть
Я слишком смелая чтобы свернуть с пути
Я слишком предана,чтобы кого-то любить
Я слишком сильная чтобы себя не спасти
Прощай прости ведь мне так хочется жить
Всё вымыла до бела и была не была
Ты не сломал, мне ещё есть о чём помечтать
Эта любовь измотала и довела
Эта любовь в миг накрыла но схлынула
Мне говорили: Дура не реви не реви
Он в тебя пулю а ты о любви о любви
Какая там любовь ведь у него не болит
Твоя душа, как море а его — на мели
А я кричала: Как он может так, чёрт возьми?!
В слезах писала: Набери и поговорим
Я словно птица феникс, та что устала молить
Чтобы воскреснуть, нужно испепелить
Нужно испепелить""",ANNA ASTI
5,7,"""Лeти пташка
Пока не станет страшно
В этом огромном небе
Возвращайся ко мне, возвращайся ко мне
Мы зависаем
В красных трамваях слышу гудки
Лето не радует
Или же радует месяца три
Будто в подвале
С мелким окошком под потолком
Мы всё проспали
У нас всё на потом
Здесь нет слов
Замолчишь ты — замолчу я
Из ветров
И пустоты душа твоя
Лети пташка
Пока не станет страшно
В этом огромном небе
Возвращайся ко мне, возвращайся ко мне
Лететь страшно
Но это очень важно
Сила небесной жажды
Ты не бойся камней и не бойся камней
На побережье
Грустные чайки мяу кричат
Я буду нежной
Шепчет волна пакету котят
Я будто закладка
В застрявшем лифте, мой дорогой
Я очень рада
Что ты теперь с другой
Здесь нет слов
Замолчишь ты — замолчу я
Из ветров
И пустоты душа твоя
Больше нет слов
Замолчишь ты — замолчу я
Из цветов
И темноты душа моя
Лети пташка
Пока не станет страшно
В этом огромном небе
Возвращайся ко мне, возвращайся ко мне
Лететь страшно
Но это очень важно
Сила небесной жажды
Ты не бойся камней и не бойся камней (камней камней)
Лети пташка
Пока не станет страшно
В этом огромном небе
Возвращайся ко мне возвращайся ко мне
Лететь страшно
Но это очень важно
Сила небесной жажды
Ты не бойся камней и не бойся камней""", Моя Мишель feat Dose
6,8,"""Но мнe всё равно где ты и с кем
Не люблю я давно
Хочешь не верь но всё завершено
Наша любовь — это титры в кино
Всё решено!
Мне не звони не люблю я давно
И у сообщений статус: Не прочтено
Наша любовь — это титры в кино е-е
Но мне всё равно где ты и с кем
Не люблю я давно
Хочeшь не верь но все завершено
Наша любовь — это титры в кино е-е
Наши дни прошли на этом всё
Забывай забывай
Звёзды не сошлись они так далеко от нас
Теперь сгорают ночи таю в огне
Я обесточен сердце хочет к тебе
Ты в моей голове в голове но
Но мне всё равно где ты и с кем
Не люблю я давно
Хочешь не верь но всё завершено
Наша любовь — это титры в кино
Всё решено!
Мне не звони не люблю я давно
И у сообщений статус: Не прочтено
Наша любовь — это титры в кино е-е
Но мне всё равно где ты и с кем
Не люблю я давно
Хочешь не верь но всё завершено
Наша любовь — это титры в кино е-е
Дождь на фоне город тонет
Люди-клоны, птицы-дроны скажи кто мы?
Перед Богом скажи кто мы?
Скажи кто мы?
Всё решено!
Мне не звони, не люблю я давно
И у сообщений статус: Не прочтено
Наша любовь — это титры в кино е-е
Но мне всё равно где ты и с кем
Не люблю я давно
Хочешь не верь но всё завершено
Наша любовь — это титры в кино, е-е""",JONY
7,9,"""Плакала
Когда он уходил, ты плакала
И на колени свои падала
Просила всё ещё сохранить, сохранить

Вот она
Теперь делами вся замотана
Любит теперь только работая
Забыла, как опять полюбить, полюбить

А ты закрыла сердце своё навсегда теперь
И каждый день кусала свои губы алые
Но сколько же ты слёз, своих слёз уже пролила
Всё было несерьезно, но жаль ты не поняла

Плакала
Когда он уходил, ты плакала
И на колени свои падала
Просила всё ещё сохранить, сохранить

Вот она
Теперь делами вся замотана
Любит теперь только работая
Забыла, как опять полюбить, полюбить

Плакала
Когда он бил тебя, ты плакала
А ты хотела его радовать
Но он к другой опять уходил, уходил

Вот она
Теперь счастлива и заботлива
Нашла того, кто не такой дурак
И смог тебя сильней полюбить, полюбить

Лишь бы в этот раз опять не сгореть к чертям
Люди часто предают, только ты не предала
Поболит и пройдёт что-то там в груди
Ты поймёшь, что пора перестать любить

Плакала
Когда он уходил, ты плакала
И на колени свои падала
Просила всё ещё сохранить, сохранить

Вот она
Теперь делами вся замотана
Любит теперь только работая
Забыла, как опять полюбить, полюбить

Плакала""", Лёша Свик
8,10,"""А ведь не просто забыть, что на простыни
Двое играли в любовь, пока чай стынет
Я допиваю апероль на пару с фотками
А ты глазеешь на закат, там где-то Маск летит

А ведь не просто забыть, что на простыни
Двое играли в любовь, пока чай стынет
Я допиваю апероль на пару с фотками
А ты глазеешь на закат, там где-то Маск летит

Ой, дома больше нет твоей кружки
Стойких духов тоже нет на подушке
На зеркале в ванной больше нет этих писем
На сердце есть шрамы от всех этих мыслей

Всё моя молодость, как и твоя гордость
Растоптали в щепки наши с тобой мечты
Вроде дали отопление, но почему мне холодно
Как в сумерках дни летят с весны до весны

А ведь не просто забыть, что на простыни
Двое играли в любовь

А ведь не просто забыть, что на простыни
Двое играли в любовь, пока чай стынет
Я допиваю апероль на пару с фотками
А ты глазеешь на закат, там где-то Маск летит

А ведь не просто забыть, что на простыни
Двое играли в любовь, пока чай стынет
Я допиваю апероль на пару с фотками
А ты глазеешь на закат, там где-то Маск летит

И вроде бы утро, как утро
И вроде бы день, как день
На кухне все та же посуда
Конечно, пора уже выкинуть вещи, но мне лень

А ведь не просто забыть, что на простыни
Двое играли в любовь, пока чай стынет
Я допиваю апероль на пару с фотками
А ты глазеешь на закат, там где-то Маск летит

А ведь не прoсто забыть""",KALVADOS
9,12,"""Эта девочка бандитка, милая улыбка
Туфельки на кроссы после учёбы сбросит
Дерзкая проказница нежно, мило дразнится
Я в погоне за тобой

Девочка бандитка, милая улыбка
Лаймовые бантики блатной романтики
Ой, надула губки, ямочки на щёчках
Олимпосик, юбка, глазки-огонёчки

Я тебе письмо написал сегодня ночью
Ты читай его, читай между строчек
Видишь эти тoчки, я без заморочек
Тихо стонет, стонет голубочек

Ну зачем меня пленили
Твои чёрные глаза
Ты одна в каком угодно мире
Я с тобой, малая, навсегда

Девочка бандитка, милая улыбка
Лаймовые бантики блатной романтики
Ой, надула губки, ямочки на щёчках
Олимпосик, юбка, глазки-огонёчки

Наша первая лезгинка, две жвачки от Love Is
Тет-а-тетом вечеринка, в губках я твоих завис
Будем, будем целоваться от заката до заката
Мне не нужно ничего, твой поцелуй — моя зарплата

Я не знаю никого, кто похож на нас двоих
К тебе дорогу замело, это не тупик
Пацаны, лопаты, санки, дотянусь я до тебя
К милой атаманке опоздать нельзя

Девочка бандитка, милая улыбка
Лаймовые бантики блатной романтики
Ой, надула губки, ямочки на щёчках
Олимпосик, юбка, глазки-огонёчки

Девочка бандитка (бандитка)
После учёбы сбросит (сбросит, сбросит)
Нежно, мило дразнится
Я в погоне за тобой""",ALEKS ATAMAN feat FINIK
